"Date",                "Activities",        "Hours"
# 三个月 - DDIA + 视频YT， Alex
## 一个月 - 
### 一个周 - 
"10/08/2022", "Social with friends", 3.0
"10/09/2022", "House Cleaning", 1.0
"10/09/2022", "AWS Learning - Networking Basics - networking design patterns and protocols", 2.0
"10/15/2022", "AWS Learning - Networking Basics - CIDR, Subneting, Subnet Mask, and Network Accessing Data Types", 3.0
"10/16/2022", "House Cleaning", 1.0
"10/16/2022", "AWS Learning - Networking Basics - OSI Model, TCP/IP Model", 2.0
